"loan_status","loan_amnt","grade","home_ownership","annual_inc","age","emp_cat","ir_cat"
0,7350,"B","MORTGAGE",48000,21,"15-30","8-11"
0,11500,"C","RENT",36000,30,"0-15","13.5+"
1,13650,"B","MORTGAGE",86000,32,"15-30","11-13.5"
1,10500,"D","RENT",30000,25,"0-15","13.5+"
0,12000,"B","RENT",60000,28,"0-15","8-11"
0,6000,"A","RENT",34000,27,"0-15","8-11"
0,11500,"C","MORTGAGE",44200,27,"15-30","13.5+"
0,7000,"B","MORTGAGE",82000,26,"0-15","11-13.5"
0,2000,"C","RENT",41000,27,"0-15","13.5+"
0,11625,"C","MORTGAGE",36000,22,"0-15","11-13.5"
1,15075,"C","RENT",35000,31,"0-15","Missing"
0,5300,"C","RENT",30000,25,"0-15","13.5+"
0,8200,"A","RENT",40000,26,"0-15","0-8"
0,12000,"B","MORTGAGE",105000,25,"0-15","Missing"
0,8650,"C","MORTGAGE",45000,23,"0-15","13.5+"
0,12000,"B","RENT",83000,31,"0-15","11-13.5"
1,9500,"B","MORTGAGE",52500,22,"0-15","11-13.5"
0,7400,"C","OWN",25000,26,"0-15","Missing"
0,14400,"C","MORTGAGE",60000,28,"15-30","11-13.5"
1,7200,"A","RENT",68000,23,"0-15","0-8"
0,4000,"A","RENT",65000,24,"0-15","0-8"
0,1500,"D","MORTGAGE",144000,24,"0-15","13.5+"
0,19600,"B","RENT",75000,22,"0-15","11-13.5"
0,2500,"B","MORTGAGE",29000,54,"0-15","11-13.5"
1,10000,"B","RENT",70000,22,"0-15","11-13.5"
0,10000,"A","RENT",45000,21,"0-15","0-8"
0,4225,"B","MORTGAGE",55200,25,"0-15","11-13.5"
0,3500,"A","MORTGAGE",61440,35,"0-15","0-8"
0,12000,"A","MORTGAGE",56000,24,"15-30","Missing"
0,16500,"A","RENT",47000,26,"0-15","Missing"
0,12000,"C","RENT",71000,29,"0-15","Missing"
0,10800,"B","RENT",135000,28,"0-15","Missing"
0,14000,"B","MORTGAGE",63000,25,"0-15","11-13.5"
0,6000,"C","MORTGAGE",50000,35,"0-15","11-13.5"
0,12000,"B","RENT",80000,24,"0-15","8-11"
0,10000,"B","RENT",45000,29,"0-15","11-13.5"
0,8000,"A","RENT",78000,31,"0-15","0-8"
0,14125,"B","RENT",33000,25,"0-15","8-11"
0,14000,"B","RENT",62800,24,"0-15","11-13.5"
0,4000,"E","MORTGAGE",80000,25,"15-30","13.5+"
1,4000,"B","RENT",25000,22,"0-15","11-13.5"
0,10500,"A","MORTGAGE",65000,23,"0-15","0-8"
0,5500,"A","OWN",59000,34,"15-30","0-8"
0,7350,"B","RENT",33000,24,"0-15","11-13.5"
1,10000,"B","RENT",39000,22,"0-15","11-13.5"
0,12000,"A","RENT",42000,32,"0-15","0-8"
0,4500,"A","MORTGAGE",50700,24,"15-30","8-11"
0,18000,"B","OWN",75000,29,"0-15","11-13.5"
0,12000,"C","RENT",40000,24,"0-15","11-13.5"
0,10000,"C","MORTGAGE",50000,25,"0-15","11-13.5"
0,6000,"A","MORTGAGE",80000,25,"0-15","0-8"
0,12000,"B","RENT",40000,27,"0-15","11-13.5"
1,12000,"A","RENT",80000,30,"0-15","8-11"
0,7000,"B","RENT",75000,29,"0-15","11-13.5"
0,1400,"A","RENT",28800,29,"0-15","0-8"
0,3200,"B","RENT",61200,26,"0-15","8-11"
0,8000,"A","RENT",40000,22,"0-15","0-8"
0,5000,"A","MORTGAGE",54000,22,"0-15","0-8"
0,1800,"A","RENT",18000,21,"15-30","0-8"
0,35000,"A","RENT",85000,37,"0-15","8-11"
0,18000,"A","RENT",78000,34,"0-15","8-11"
1,14000,"A","OWN",45600,23,"0-15","0-8"
0,5000,"B","RENT",70000,38,"0-15","11-13.5"
0,8000,"C","RENT",70000,25,"0-15","13.5+"
0,10000,"A","MORTGAGE",80000,24,"0-15","Missing"
0,10000,"A","RENT",50000,23,"0-15","0-8"
0,12000,"B","MORTGAGE",35000,23,"0-15","11-13.5"
0,23200,"A","MORTGAGE",65000,31,"0-15","0-8"
0,4800,"C","MORTGAGE",75000,25,"15-30","13.5+"
0,7300,"B","RENT",35000,29,"0-15","11-13.5"
0,10400,"B","RENT",40000,25,"0-15","8-11"
0,6600,"B","MORTGAGE",100000,24,"0-15","8-11"
0,12000,"A","OWN",40000,21,"0-15","8-11"
0,13250,"D","RENT",52000,29,"0-15","13.5+"
0,12000,"B","RENT",92500,26,"0-15","11-13.5"
0,25000,"B","RENT",61000,28,"0-15","8-11"
0,6000,"B","RENT",36000,25,"15-30","Missing"
0,12000,"A","MORTGAGE",68000,23,"15-30","0-8"
0,14400,"B","RENT",80000,22,"0-15","11-13.5"
0,10000,"B","RENT",43000,27,"0-15","11-13.5"
0,8000,"B","RENT",150000,28,"0-15","11-13.5"
1,8000,"D","RENT",50000,21,"0-15","13.5+"
0,13250,"B","OWN",35000,37,"0-15","11-13.5"
0,14000,"C","RENT",80000,34,"0-15","13.5+"
0,10000,"D","RENT",40000,38,"0-15","13.5+"
0,4000,"A","RENT",55000,45,"0-15","0-8"
0,13000,"B","RENT",110000,40,"0-15","8-11"
0,28000,"B","RENT",100000,25,"0-15","11-13.5"
0,10000,"C","RENT",62000,23,"0-15","11-13.5"
0,20000,"A","RENT",45000,22,"0-15","0-8"
0,18000,"B","RENT",110000,27,"0-15","8-11"
0,10000,"B","RENT",33000,26,"0-15","11-13.5"
0,4200,"A","RENT",61000,23,"0-15","0-8"
0,24000,"D","RENT",50964,21,"0-15","13.5+"
0,4475,"C","RENT",43680,28,"0-15","13.5+"
0,12000,"B","RENT",50700,29,"0-15","11-13.5"
1,5000,"B","RENT",30000,26,"0-15","11-13.5"
0,3000,"A","RENT",50000,25,"0-15","0-8"
1,12000,"B","RENT",55000,45,"15-30","8-11"
0,20000,"C","MORTGAGE",50000,25,"0-15","13.5+"
0,10000,"C","RENT",84000,25,"0-15","Missing"
0,15000,"B","OWN",155000,32,"0-15","11-13.5"
0,12000,"A","MORTGAGE",62000,26,"0-15","0-8"
0,6300,"B","RENT",30000,21,"0-15","11-13.5"
1,10000,"B","RENT",32000,42,"0-15","11-13.5"
1,24000,"A","MORTGAGE",116400,32,"15-30","8-11"
0,14400,"B","MORTGAGE",40000,22,"0-15","11-13.5"
0,6000,"C","RENT",34000,32,"0-15","13.5+"
0,22000,"C","MORTGAGE",73000,22,"0-15","13.5+"
1,12000,"B","RENT",57200,28,"15-30","Missing"
0,16000,"D","MORTGAGE",114000,33,"0-15","13.5+"
0,10000,"B","MORTGAGE",90000,29,"0-15","8-11"
1,10000,"B","RENT",35000,27,"0-15","11-13.5"
0,3500,"C","RENT",56000,23,"0-15","Missing"
0,9600,"B","RENT",35000,25,"0-15","8-11"
0,9875,"A","MORTGAGE",40000,22,"0-15","0-8"
0,4800,"A","RENT",48000,23,"0-15","0-8"
0,7800,"A","OWN",85000,30,"0-15","0-8"
0,20000,"C","MORTGAGE",70000,26,"0-15","13.5+"
1,9750,"A","RENT",35000,27,"0-15","0-8"
0,5000,"A","MORTGAGE",30000,25,"0-15","0-8"
0,9000,"C","RENT",45000,28,"0-15","13.5+"
0,7200,"A","RENT",55000,25,"0-15","0-8"
0,25000,"C","OWN",82000,24,"0-15","13.5+"
0,10000,"C","RENT",53000,33,"0-15","13.5+"
1,8875,"B","MORTGAGE",35360,25,"0-15","11-13.5"
0,15550,"B","RENT",54000,23,"0-15","11-13.5"
0,7500,"B","RENT",65000,29,"0-15","11-13.5"
0,8875,"A","OWN",28800,22,"0-15","8-11"
0,4500,"D","RENT",42000,21,"0-15","13.5+"
0,5800,"B","RENT",36000,27,"0-15","11-13.5"
0,10000,"B","RENT",40000,21,"0-15","11-13.5"
0,10000,"B","RENT",50000,35,"0-15","8-11"
0,14000,"B","RENT",52000,39,"0-15","11-13.5"
1,12000,"A","RENT",32000,29,"0-15","Missing"
0,24000,"A","OWN",75000,23,"0-15","0-8"
0,14000,"C","RENT",80000,23,"0-15","13.5+"
0,12000,"A","MORTGAGE",40246,38,"0-15","8-11"
1,8050,"B","RENT",36000,22,"0-15","11-13.5"
0,5600,"B","RENT",60000,22,"0-15","8-11"
0,7500,"B","RENT",31200,22,"0-15","8-11"
0,7000,"B","RENT",90000,35,"0-15","11-13.5"
0,5400,"A","RENT",40000,29,"0-15","0-8"
0,16000,"B","RENT",90000,27,"0-15","11-13.5"
0,9800,"D","RENT",67000,39,"0-15","13.5+"
0,5000,"A","RENT",276000,28,"0-15","0-8"
0,9900,"B","RENT",26400,22,"0-15","11-13.5"
0,4000,"B","RENT",24000,25,"Missing","11-13.5"
0,15000,"B","MORTGAGE",68400,31,"0-15","11-13.5"
0,6250,"C","RENT",29120,25,"0-15","13.5+"
0,6400,"D","RENT",29120,25,"0-15","13.5+"
0,12000,"C","MORTGAGE",54000,32,"0-15","13.5+"
0,15000,"A","MORTGAGE",30000,28,"0-15","Missing"
0,6500,"C","MORTGAGE",30000,25,"0-15","13.5+"
0,8000,"C","RENT",50000,24,"15-30","13.5+"
0,15000,"C","MORTGAGE",100500,27,"0-15","13.5+"
0,10200,"C","RENT",40000,26,"0-15","Missing"
0,9000,"B","MORTGAGE",47000,28,"0-15","11-13.5"
0,6500,"D","MORTGAGE",68000,25,"0-15","13.5+"
0,2000,"A","RENT",39600,27,"0-15","0-8"
0,8000,"C","OWN",30000,22,"0-15","11-13.5"
0,8875,"A","RENT",30000,25,"0-15","0-8"
1,1500,"E","RENT",17000,21,"0-15","13.5+"
0,8000,"B","RENT",42000,31,"0-15","11-13.5"
0,6500,"B","RENT",42000,20,"0-15","11-13.5"
0,9600,"C","MORTGAGE",27000,21,"0-15","11-13.5"
0,10000,"A","MORTGAGE",46000,40,"0-15","0-8"
0,15000,"B","MORTGAGE",80000,23,"15-30","11-13.5"
0,9000,"A","MORTGAGE",45000,25,"0-15","0-8"
0,10000,"A","RENT",72500,36,"0-15","0-8"
1,1000,"C","RENT",18408,51,"Missing","13.5+"
0,14000,"A","RENT",30000,24,"0-15","0-8"
1,8500,"C","RENT",50000,25,"0-15","13.5+"
0,4500,"C","MORTGAGE",65000,28,"0-15","13.5+"
0,3000,"A","MORTGAGE",65000,27,"15-30","0-8"
0,10000,"B","MORTGAGE",120000,25,"0-15","8-11"
0,7200,"C","RENT",54990,25,"0-15","13.5+"
0,23000,"A","MORTGAGE",137000,50,"0-15","0-8"
0,7000,"A","RENT",46000,34,"0-15","8-11"
0,21000,"B","MORTGAGE",135000,24,"0-15","11-13.5"
0,8250,"A","MORTGAGE",31500,25,"Missing","0-8"
0,13000,"B","RENT",65000,31,"0-15","Missing"
0,18000,"A","MORTGAGE",78000,29,"0-15","0-8"
0,7200,"A","MORTGAGE",60000,31,"0-15","0-8"
0,16500,"A","RENT",48000,22,"0-15","8-11"
0,8125,"A","RENT",25000,21,"0-15","0-8"
0,18800,"A","MORTGAGE",82000,35,"0-15","0-8"
0,26800,"E","MORTGAGE",82000,42,"0-15","Missing"
0,19200,"A","MORTGAGE",42000,24,"0-15","0-8"
0,4000,"B","MORTGAGE",38000,23,"0-15","11-13.5"
0,4000,"D","RENT",35000,25,"0-15","13.5+"
0,12000,"B","OWN",33000,22,"0-15","8-11"
0,2625,"B","MORTGAGE",52800,23,"0-15","11-13.5"
0,7000,"B","RENT",73882,39,"15-30","8-11"
0,11300,"B","MORTGAGE",36000,23,"0-15","11-13.5"
0,4000,"B","MORTGAGE",130000,30,"15-30","Missing"
0,8000,"A","MORTGAGE",57200,21,"15-30","0-8"
1,14400,"D","RENT",51871,24,"0-15","Missing"
0,4375,"B","OWN",15000,28,"0-15","11-13.5"
0,4100,"A","MORTGAGE",70197,32,"0-15","0-8"
0,6000,"A","RENT",47000,24,"0-15","8-11"
0,4000,"A","MORTGAGE",120000,44,"0-15","Missing"
1,3000,"B","MORTGAGE",86004,25,"0-15","8-11"
0,5400,"B","MORTGAGE",75000,23,"0-15","11-13.5"
1,15000,"D","RENT",110000,60,"0-15","13.5+"
0,10400,"B","RENT",44000,24,"0-15","11-13.5"
0,11500,"B","RENT",38500,27,"0-15","11-13.5"
0,10000,"A","RENT",75000,24,"0-15","0-8"
0,3600,"A","RENT",55000,25,"0-15","8-11"
1,10000,"D","RENT",68000,32,"0-15","13.5+"
0,15000,"D","MORTGAGE",66000,24,"15-30","13.5+"
0,8000,"B","RENT",85000,28,"0-15","11-13.5"
1,16000,"A","RENT",51000,51,"0-15","0-8"
0,8000,"B","RENT",55000,23,"0-15","8-11"
0,7200,"A","MORTGAGE",47000,41,"15-30","0-8"
0,12000,"A","RENT",86000,27,"0-15","0-8"
1,2200,"C","OWN",48000,24,"0-15","13.5+"
0,6000,"A","MORTGAGE",50000,24,"0-15","0-8"
0,14400,"C","RENT",42996,22,"0-15","Missing"
0,14050,"A","MORTGAGE",120000,33,"0-15","8-11"
0,6000,"C","OWN",62691,38,"15-30","11-13.5"
0,10525,"A","RENT",49668,29,"0-15","0-8"
0,7200,"C","RENT",30000,31,"0-15","13.5+"
0,12000,"C","MORTGAGE",40000,26,"0-15","11-13.5"
0,12000,"B","MORTGAGE",100000,39,"0-15","Missing"
0,3000,"B","RENT",56312,33,"0-15","11-13.5"
0,9500,"D","RENT",54011,26,"0-15","13.5+"
0,19775,"B","RENT",49110.32,30,"0-15","11-13.5"
0,30000,"B","RENT",80000,29,"0-15","11-13.5"
0,16000,"B","MORTGAGE",55000,30,"0-15","Missing"
0,14500,"C","RENT",90000,33,"0-15","13.5+"
0,4150,"B","RENT",100000,23,"0-15","8-11"
0,24000,"D","RENT",70000,53,"0-15","13.5+"
1,21250,"B","RENT",37000,22,"0-15","11-13.5"
0,10000,"C","OWN",75000,30,"30-45","13.5+"
0,4000,"C","RENT",39000,30,"0-15","13.5+"
0,15000,"B","RENT",60000,22,"0-15","11-13.5"
0,3600,"C","RENT",40000,23,"0-15","13.5+"
1,15000,"C","RENT",60000,23,"0-15","13.5+"
0,12375,"A","RENT",42000,26,"0-15","0-8"
1,4000,"B","RENT",30000,27,"0-15","11-13.5"
0,13000,"B","MORTGAGE",50000,22,"15-30","8-11"
0,5000,"A","MORTGAGE",39396,22,"0-15","0-8"
0,5000,"C","OWN",98000,31,"0-15","13.5+"
0,26000,"B","RENT",62500,23,"15-30","11-13.5"
0,8000,"A","RENT",32400,22,"15-30","0-8"
1,1700,"A","MORTGAGE",37800,34,"Missing","Missing"
0,16000,"B","RENT",50000,35,"0-15","8-11"
1,12000,"C","RENT",54400,22,"0-15","13.5+"
0,7000,"B","MORTGAGE",72800,27,"0-15","Missing"
1,13000,"D","RENT",28000,26,"0-15","13.5+"
0,18000,"C","MORTGAGE",96000,30,"0-15","11-13.5"
0,10000,"D","RENT",83200,22,"0-15","13.5+"
1,11200,"B","RENT",75000,30,"0-15","11-13.5"
0,7000,"B","RENT",52000,23,"0-15","8-11"
0,8000,"A","RENT",57600,41,"0-15","0-8"
0,12000,"D","RENT",95000,23,"0-15","13.5+"
0,22000,"C","RENT",58000,25,"0-15","13.5+"
0,6200,"B","MORTGAGE",24000,36,"15-30","8-11"
0,15900,"B","MORTGAGE",58000,29,"0-15","Missing"
0,5000,"A","MORTGAGE",70000,26,"Missing","Missing"
0,16000,"A","MORTGAGE",104000,33,"0-15","Missing"
0,5000,"B","RENT",35000,24,"0-15","11-13.5"
0,3150,"C","RENT",53000,36,"0-15","13.5+"
1,12000,"C","RENT",28000,23,"0-15","13.5+"
1,28000,"A","MORTGAGE",118000,24,"0-15","0-8"
0,5000,"B","RENT",40000,23,"0-15","11-13.5"
0,3000,"B","MORTGAGE",42000,25,"Missing","8-11"
1,3000,"A","MORTGAGE",65000,27,"0-15","0-8"
0,8400,"A","RENT",25000,22,"0-15","0-8"
0,7000,"B","MORTGAGE",36000,30,"0-15","8-11"
0,2000,"B","MORTGAGE",231252,27,"0-15","8-11"
1,8575,"D","MORTGAGE",32000,28,"Missing","13.5+"
0,10000,"A","RENT",66000,27,"0-15","0-8"
0,25000,"E","MORTGAGE",92000,29,"0-15","13.5+"
0,8000,"B","RENT",70000,24,"0-15","11-13.5"
0,25000,"B","MORTGAGE",76896,23,"0-15","11-13.5"
0,2000,"B","RENT",24000,24,"15-30","Missing"
0,16800,"C","RENT",60000,22,"0-15","13.5+"
0,8000,"A","MORTGAGE",120000,32,"0-15","8-11"
1,11000,"A","MORTGAGE",80000,26,"0-15","0-8"
1,5000,"D","MORTGAGE",85000,33,"0-15","13.5+"
0,18000,"D","OWN",140000,28,"0-15","13.5+"
1,10000,"B","OWN",36000,30,"0-15","11-13.5"
0,5000,"B","RENT",70000,34,"0-15","8-11"
0,10000,"D","RENT",51360,22,"0-15","Missing"
0,25000,"B","RENT",163000,29,"0-15","8-11"
0,2400,"B","MORTGAGE",59393,24,"0-15","11-13.5"
1,3000,"D","MORTGAGE",65000,25,"0-15","13.5+"
1,7700,"D","RENT",29772.96,23,"0-15","13.5+"
0,2400,"C","OWN",12996,23,"0-15","11-13.5"
0,5000,"B","OWN",44475,24,"0-15","8-11"
0,14000,"D","MORTGAGE",88000,31,"0-15","13.5+"
0,2400,"B","MORTGAGE",36000,30,"0-15","8-11"
0,1800,"B","RENT",117000,27,"0-15","11-13.5"
1,22200,"E","RENT",160000,30,"0-15","13.5+"
1,13000,"A","RENT",28000,25,"0-15","0-8"
0,8000,"B","RENT",48000,23,"0-15","Missing"
1,3600,"B","MORTGAGE",60000,26,"0-15","11-13.5"
0,9400,"B","RENT",45500,26,"0-15","8-11"
0,9600,"C","MORTGAGE",156000,26,"0-15","13.5+"
0,17000,"B","RENT",40000,22,"0-15","8-11"
0,10800,"C","MORTGAGE",110000,42,"0-15","13.5+"
0,6000,"A","RENT",59400,24,"15-30","0-8"
0,35000,"A","MORTGAGE",106000,22,"15-30","Missing"
0,10000,"B","RENT",36000,26,"0-15","Missing"
0,5000,"B","RENT",25000,26,"0-15","11-13.5"
1,7100,"C","RENT",33000,25,"0-15","13.5+"
0,12000,"D","MORTGAGE",93000,25,"0-15","13.5+"
0,5825,"B","RENT",50000,23,"0-15","8-11"
1,22250,"B","RENT",41000,23,"0-15","11-13.5"
0,6000,"B","RENT",30000,22,"0-15","11-13.5"
1,7650,"B","RENT",57000,23,"0-15","11-13.5"
0,13200,"A","MORTGAGE",62500,21,"0-15","0-8"
0,12000,"A","RENT",60000,21,"0-15","0-8"
0,15000,"A","RENT",60000,26,"0-15","0-8"
0,12800,"B","MORTGAGE",99600,25,"0-15","11-13.5"
0,27575,"B","MORTGAGE",54000,27,"0-15","Missing"
0,7000,"B","RENT",49000,31,"0-15","11-13.5"
0,10000,"C","RENT",44160,23,"0-15","13.5+"
0,14125,"A","RENT",32000,23,"0-15","0-8"
0,12000,"A","MORTGAGE",94500,35,"0-15","0-8"
0,9575,"A","RENT",19498,27,"0-15","0-8"
1,12000,"C","MORTGAGE",88000,31,"0-15","13.5+"
0,10000,"B","RENT",45000,25,"0-15","11-13.5"
0,10000,"C","RENT",37500,25,"0-15","13.5+"
